PlantID,Species,Block,Inoculum_type,Root_mass_g,Shoot_Height_cm,Shoot_mass_g,LICOR_E,LICOR_A,LICOR_water_use_eff,iWUE,LICOR_Ci,LICOR_gsw_stomata,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,root_Depth.mm,root_Maximum.Width.mm,root_Width-to-Depth.Ratio,root_Network.Area.mm2,root_Convex.Area.mm2,root_Solidity,Lower.Root.Area.mm2,root_Average.Diameter.mm,root_Median.Diameter.mm,root_Maximum.Diameter.mm,root_Perimeter.mm,root_Volume.mm3,root_Surface.Area.mm2,root_Holes,root_Average.Hole.Size.mm2,root_Computation.Time.s,Average.Root.Orientation.deg,root_Shallow.Angle.Frequency,root_Medium.Angle.Frequency,root_Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,root_Projected.Area.Diameter.Range.1.mm2,root_Projected.Area.Diameter.Range.2.mm2,Root_Projected.Area.Diameter.Range.3.mm2,Root_Surface.Area.Diameter.Range.1.mm2,root_Surface.Area.Diameter.Range.2.mm2,root_Surface.Area.Diameter.Range.3.mm2,Rott_Volume.Diameter.Range.1.mm3,root_Volume.Diameter.Range.2.mm3,root_Volume.Diameter.Range.3.mm3,LAT.Max.Diameter,LAT.Min.Diameter,LAT.Total.Area,LAT.Total.Perimeter,LAT.Cortex.Max.Diameter,LAT.Cortex.Min.Diameter,LAT.Cortex.Area,LAT.Cortex.Perimeter,LAT.Stele.Max.Diameter,LAT.Stele.Min.Diameter,LAT.Stele.Area,LAT.Stele.Perimeter,LAT.Number.of.Aerenchyma,LAT.Total.Area.of.Aerencyhma,LAT.Average.area.of.Aerenchyma,LAT.Number.of.Metaxylem,LAT.Total.Area.of.Metaxylem,LAT.Average.area.of.metaxylem,LAT.Cortical.Cell.Layers,Li,B,Na,Mg,P,S,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Pb
690,maize,m4,adapted_comm,0.36,49,0.82,0.002008,6.167549,3071.488546,139.326112,152.803,0.044267,18,84,19164,17803.98116,217.889667,114.681,0.526326,4775.214464,18818.01523,0.253758,1550.955679,0.627291,0.338667,12.939604,16540.19133,22782.3287,37851.81619,9192,0.543624,3.514,44.009136,0.32476,0.368831,0.306409,16751.41058,790.370291,262.200287,7723.033842,2375.074616,1941.987064,24288.15953,7462.724369,6100.932294,4717.258369,5990.271128,12074.7992,1421.589,962.6408,1005173.539,3964.1336,1390.5723,962.4926,941177.6964,3847.7238,557.4225,494.6662,208042.1826,1634.6629,6,23214.1962,3869.0327,9,43272.9256,4808.1028,9,4.656,11.571,27.094,3406.882,927.979,883.273,20002.266,3426.747,0.25,0.025,35.55,49.836,0.033,0.174,1.318,6.742,3.102,-0.167,43.262,52.94,5.664,0.013,0.136
691,maize,m5,adapted_comm,0.38,49,0.92,0.002602,7.568262,2908.63259,129.9674062,166.619,0.058232,33,85,26450,23871.22528,215.561333,169.629667,0.786921,6065.425145,28245.48114,0.21474,3238.31252,0.558799,0.30527,20.683635,24285.84998,31152.88102,45012.39094,11948,0.591198,4.918,43.499059,0.341611,0.35572,0.30267,22937.01266,656.363736,277.84888,9867.254301,1986.176124,2464.078816,31030.00737,6240.442415,7741.941153,5626.781641,5073.736309,20452.36307,1145.3175,953.7495,868897.7718,3390.9124,1119.2356,919.7407,811284.5048,3307.8315,551.6849,476.7301,205493.5898,1623.5438,8,35929.8906,4491.2363,8,48230.5258,6028.8157,9,6.303,12.839,6.424,3779.194,1263.017,698.474,18187.764,3565.566,0.287,0.009,30.859,42.119,0.026,0.141,1.041,16.48,3.8,0.726,37.728,65.062,6.363,0.014,-0.018
692,maize,m6,adapted_comm,0.43,52,0.9,0.001015,2.560482,2522.642365,116.3538126,190.2911,0.022006,25,91,22642,21363.94729,204.766333,148.251333,0.724002,5971.0239,20470.81659,0.291685,2845.978179,0.648055,0.30527,14.732243,19526.06133,34461.89181,47215.7263,12452,0.348475,4.435,43.765193,0.33472,0.360327,0.304954,19963.0752,1012.018238,388.853856,8864.588263,3061.633987,3092.249919,27879.70204,9621.434636,9714.589628,5331.454631,7812.16892,21318.26826,1539.1168,1102.8229,1267528.852,4337.1437,1477.2749,1052.5521,1148384.676,4075.4807,644.545,506.8116,254210.3541,1815.6812,10,111758.1553,11175.8155,9,57127.0284,6347.4476,9,4.517,17.468,54.128,3201.888,1319.551,848.894,23575.659,3133.224,0.142,0.022,38.338,57.806,0.033,0.15,1.196,18.433,3.797,0.317,54.623,57.466,5.177,0.027,0.109
693,maize,m1,adapted_comm,0.23,73,1.04,0.001411,4.608726,3266.283487,147.2248275,141.7796,0.031304,21,89,21796,19894.1214,212.09,164.549667,0.775848,4659.806093,32550.93221,0.143154,2617.453546,0.561227,0.26774,12.879356,20715.41186,24759.1204,38241.50092,10938,0.43295,4.382,43.760975,0.336378,0.360292,0.303331,18927.7868,680.333266,286.001339,7835.257738,2085.039669,2242.490967,24642.99324,6551.299685,7047.207998,4550.659375,5394.973145,14813.48788,1350.2424,1033.3128,965328.3166,3757.73,1323.492,1004.1898,912875.5573,3652.5915,601.8057,526.6716,246608.9467,1777.5936,14,253530.4517,18109.318,10,63549.353,6354.9353,9,7.671,11.941,52.424,3691.565,2094.918,1011.319,25265.609,3594.893,0.277,0.024,39.736,43.971,0.039,0.206,1.108,13.213,5.291,1.18,54.896,69.572,7.151,0.022,0.001
694,maize,m2,adapted_comm,0.22,69,1.16,0.001357,4.552577,3354.883567,150.2203194,137.3024,0.030306,26,91,23698,22279.73897,215.603667,157.734,0.731592,5783.793092,31096.63942,0.185994,2918.718177,0.692063,0.26774,24.976667,21128.03875,73426.84546,54856.39746,14056,0.34285,4.745,43.75001,0.330194,0.368593,0.301213,20779.47819,965.281419,534.979366,8766.187113,2920.628825,5762.623691,27575.57782,9177.003389,18103.81625,5358.526616,7445.099572,60623.21928,1695.1359,1513.0597,1999314.265,5173.2554,1648.2546,1465.0246,1898138.733,4985.522,772.0592,657.3179,406382.7027,2294.5569,20,377386.3344,18869.3167,13,81594.2596,6276.4815,12,6.611,11.194,73.988,3775.42,1180.601,887.159,19476.768,3930.547,0.256,0.062,33.897,44.726,0.049,0.252,1.221,8.948,5.065,0.749,42.608,62.293,8.735,0.021,-0.081
695,maize,m3,adapted_comm,0.32,69,1.07,0.001094,2.168292,1981.985375,88.93732568,233.392,0.02438,22,90,26012,23270.89432,229.785333,148.082,0.644436,5662.415198,33342.99425,0.169823,3419.731512,0.589345,0.26774,17.531112,22670.06961,34253.83932,47478.986,13243,0.239641,4.82,43.502483,0.331566,0.372355,0.29608,21933.01713,942.384513,395.492676,9108.726864,2872.648265,3118.152704,28656.33912,9025.270356,9797.376523,5337.753689,7356.192688,21559.89294,1404.3841,1282.1799,1396007.697,4235.679,1358.433,1236.7268,1326266.659,4126.7922,675.8482,636.974,336337.9968,2067.7644,16,276001.4238,17250.089,8,75096.5957,9387.0745,9,6.651,-0.533,8.267,3424.996,1695.164,692.096,23102.113,3385.501,0.106,0.005,42.155,33.851,0.074,0.221,1.663,27.98,3.452,0.656,48.867,63.658,4.452,0.026,0.127
696,maize,m4,adapted_comm,0.28,60,0.89,0.001055,2.02163,1916.236967,82.88086258,243.611,0.024392,23,110,21541,19376.31874,201.506667,164.549667,0.816597,4988.298267,30150.93432,0.165444,3015.135547,0.632497,0.26774,21.40309,18836.00193,41802.60154,43101.7882,12662,0.268706,4.467,43.304668,0.341253,0.359321,0.299426,18142.14625,809.690631,424.481858,7465.388295,2500.280541,3741.704803,23488.71335,7857.299387,11755.77547,4407.714522,6504.897476,30889.98954,1268.775,1046.4048,1030562.865,3684.2443,1235.5598,1003.693,964174.6554,3558.8843,591.7762,514.7797,236727.4873,1738.1544,19,154543.9177,8133.8904,13,57222.7046,4401.7465,11,5.841,41.691,238.107,2851.812,1694.122,785.313,20259.705,3312.011,0.489,0.099,42.862,49.528,0.069,0.153,1.1,20.179,3.414,0.826,45.278,54.69,4.627,0.077,0.334
697,maize,m5,adapted_comm,0.27,67,0.95,0.001578,5.015254,3178.234474,138.458782,155.6644,0.036222,23,88,19274,15513.38424,189.568667,160.739667,0.847923,4046.036711,25094.32347,0.161233,2384.299891,0.610776,0.26774,17.223164,16376.43679,30319.56632,32658.56298,6410,0.686484,3.525,43.567227,0.339044,0.35835,0.302606,14677.92932,494.367371,341.087544,5824.90148,1589.593438,2974.980728,18317.20387,4994.356745,9347.002364,3078.62827,4302.687304,22938.25074,1235.8665,1093.75,1053448.897,3687.9209,1198.0858,1051.4943,994579.3593,3586.0038,618.2683,577.2139,279981.0003,1887.8673,10,227804.1768,22780.4177,12,68181.0994,5681.7583,9,4.316,10.828,22.6,3028.056,1677.671,712.414,23805.149,3468.985,-0.052,0.044,39.173,26.553,0.034,0.453,1.77,9.135,3.768,1.195,54.304,56.816,5.834,0.054,0.682
698,maize,m6,adapted_comm,0.28,65,1,0.000591,1.033957,1749.50423,80.79682738,246.1041,0.012797,31,98,23654,21044.27253,179.493333,151.595667,0.844575,5142.582905,21251.86968,0.241983,3504.955356,0.61069,0.26774,25.080206,19942.30042,58986.32782,45092.77335,15826,0.150976,4.006,43.291877,0.342707,0.352414,0.30488,20006.41131,641.941991,395.919232,7816.179576,2021.932294,4502.727333,24593.73468,6353.303561,14145.73511,4280.141872,5357.453694,49348.73225,1441.4856,1162.2141,1064967.021,4337.773,1415.7707,1135.8638,1006969.662,4201.1998,364.0703,298.2084,83175.4595,1040.0044,7,101150.111,14450.0159,6,13267.566,2211.261,9,6.148,19.522,25.055,3929.358,1876.059,998.117,25953.267,5141.523,0.085,0.027,59.459,42.024,0.047,0.136,1.37,47.548,4.202,1.23,61.98,85.719,7.457,0.024,0.002
699,maize,m1,adapted_comm,0.21,66,0.7,0.001904,6.193914,3253.106092,145.431181,143.6424,0.04259,12,74,13123,10790.61287,182.202667,119.168333,0.654043,2704.54477,16555.63445,0.163361,1816.324324,0.564518,0.26774,15.043053,11634.96705,17499.65801,20821.72127,4776,0.418499,2.442,43.757656,0.337053,0.35619,0.306757,10256.03944,312.432987,222.14044,3789.082835,984.87918,1849.312286,11917.84618,3094.089196,5809.785891,1875.154682,2617.838435,13006.6649,1115.6775,738.9951,669411.9089,3066.3092,1085.4812,719.8887,632392.1413,2971.9273,501.4968,412.9922,162102.8019,1444.9598,6,85980.5756,14330.0959,10,39024.3463,3902.4346,9,4.86,47.647,22.806,2350.382,2056.598,1349.965,24524.213,3648.811,-0.01,0.022,49.528,52.626,0.118,0.261,1.848,15.753,7.072,1.228,63.298,52.509,9.804,0.038,-0.028
